"participant","condition","order","trial","response","initial","final","difference","index","image"
9,"responsibility","9",40,32,16,9,6,4,"trial_40_diff_7_index_4"
9,"responsibility","31",41,50,16,9,6,5,"trial_41_diff_7_index_5"
9,"responsibility","3",42,53,16,9,6,6,"trial_42_diff_7_index_6"
11,"prediction","25",1,2,8,7,0,1,"trial_1_diff_1_index_1"
11,"prediction","9",2,2,8,7,0,2,"trial_2_diff_1_index_2"
11,"prediction","2",3,2,9,8,0,3,"trial_3_diff_1_index_3"
11,"prediction","15",4,3,10,9,0,4,"trial_4_diff_1_index_4"
11,"prediction","41",5,0,13,12,0,5,"trial_5_diff_1_index_5"
11,"prediction","11",6,4,13,12,0,6,"trial_6_diff_1_index_6"
11,"prediction","40",7,4,7,5,1,1,"trial_7_diff_2_index_1"
11,"prediction","42",8,4,8,6,1,2,"trial_8_diff_2_index_2"
11,"prediction","14",9,3,10,8,1,3,"trial_9_diff_2_index_3"
11,"prediction","24",10,4,12,10,1,4,"trial_10_diff_2_index_4"
11,"prediction","5",11,4,12,10,1,5,"trial_11_diff_2_index_5"
11,"prediction","33",12,4,12,10,1,6,"trial_12_diff_2_index_6"
11,"prediction","37",13,4,12,9,2,1,"trial_13_diff_3_index_1"
11,"prediction","23",14,7,13,10,2,2,"trial_14_diff_3_index_2"
11,"prediction","21",15,6,13,10,2,3,"trial_15_diff_3_index_3"
11,"prediction","30",16,4,15,12,2,4,"trial_16_diff_3_index_4"
11,"prediction","26",17,5,16,13,2,5,"trial_17_diff_3_index_5"
11,"prediction","31",18,9,19,16,2,6,"trial_18_diff_3_index_6"
11,"prediction","7",19,5,9,5,3,1,"trial_19_diff_4_index_1"
11,"prediction","39",20,6,15,11,3,2,"trial_20_diff_4_index_2"
11,"prediction","19",21,7,16,12,3,3,"trial_21_diff_4_index_3"
11,"prediction","16",22,8,17,13,3,4,"trial_22_diff_4_index_4"
11,"prediction","8",23,7,19,15,3,5,"trial_23_diff_4_index_5"
11,"prediction","29",24,14,20,16,3,6,"trial_24_diff_4_index_6"
11,"prediction","12",25,5,9,4,4,1,"trial_25_diff_5_index_1"
11,"prediction","17",26,8,14,9,4,2,"trial_26_diff_5_index_2"
11,"prediction","38",27,8,14,9,4,3,"trial_27_diff_5_index_3"
11,"prediction","28",28,5,15,10,4,4,"trial_28_diff_5_index_4"
11,"prediction","3",29,9,15,10,4,5,"trial_29_diff_5_index_5"
11,"prediction","36",30,11,17,12,4,6,"trial_30_diff_5_index_6"
11,"prediction","35",31,7,14,8,5,1,"trial_31_diff_6_index_1"
11,"prediction","20",32,8,14,8,5,2,"trial_32_diff_6_index_2"
11,"prediction","13",33,6,15,9,5,3,"trial_33_diff_6_index_3"
11,"prediction","27",34,11,16,10,5,4,"trial_34_diff_6_index_4"
11,"prediction","1",35,14,18,12,5,5,"trial_35_diff_6_index_5"
11,"prediction","6",36,12,19,13,5,6,"trial_36_diff_6_index_6"
11,"prediction","10",37,6,14,7,6,1,"trial_37_diff_7_index_1"
11,"prediction","32",38,5,14,7,6,2,"trial_38_diff_7_index_2"
11,"prediction","4",39,7,15,8,6,3,"trial_39_diff_7_index_3"
11,"prediction","18",40,8,16,9,6,4,"trial_40_diff_7_index_4"
11,"prediction","22",41,8,16,9,6,5,"trial_41_diff_7_index_5"
11,"prediction","34",42,10,16,9,6,6,"trial_42_diff_7_index_6"
12,"responsibility","35",1,9,8,7,0,1,"trial_1_diff_1_index_1"
12,"responsibility","42",2,20,8,7,0,2,"trial_2_diff_1_index_2"
12,"responsibility","34",3,23,9,8,0,3,"trial_3_diff_1_index_3"
12,"responsibility","26",4,7,10,9,0,4,"trial_4_diff_1_index_4"
12,"responsibility","4",5,0,13,12,0,5,"trial_5_diff_1_index_5"
12,"responsibility","40",6,62,13,12,0,6,"trial_6_diff_1_index_6"
12,"responsibility","15",7,47,7,5,1,1,"trial_7_diff_2_index_1"
12,"responsibility","41",8,55,8,6,1,2,"trial_8_diff_2_index_2"
12,"responsibility","12",9,29,10,8,1,3,"trial_9_diff_2_index_3"
12,"responsibility","30",10,55,12,10,1,4,"trial_10_diff_2_index_4"
12,"responsibility","5",11,27,12,10,1,5,"trial_11_diff_2_index_5"
12,"responsibility","24",12,22,12,10,1,6,"trial_12_diff_2_index_6"
12,"responsibility","8",13,42,12,9,2,1,"trial_13_diff_3_index_1"
12,"responsibility","38",14,62,13,10,2,2,"trial_14_diff_3_index_2"
12,"responsibility","16",15,55,13,10,2,3,"trial_15_diff_3_index_3"
12,"responsibility","22",16,59,15,12,2,4,"trial_16_diff_3_index_4"
12,"responsibility","7",17,26,16,13,2,5,"trial_17_diff_3_index_5"
12,"responsibility","20",18,66,19,16,2,6,"trial_18_diff_3_index_6"
12,"responsibility","29",19,65,9,5,3,1,"trial_19_diff_4_index_1"
12,"responsibility","18",20,35,15,11,3,2,"trial_20_diff_4_index_2"
12,"responsibility","13",21,63,16,12,3,3,"trial_21_diff_4_index_3"
12,"responsibility","39",22,64,17,13,3,4,"trial_22_diff_4_index_4"
12,"responsibility","19",23,36,19,15,3,5,"trial_23_diff_4_index_5"
12,"responsibility","3",24,61,20,16,3,6,"trial_24_diff_4_index_6"
12,"responsibility","36",25,52,9,4,4,1,"trial_25_diff_5_index_1"
12,"responsibility","10",26,28,14,9,4,2,"trial_26_diff_5_index_2"
12,"responsibility","21",27,52,14,9,4,3,"trial_27_diff_5_index_3"
12,"responsibility","27",28,23,15,10,4,4,"trial_28_diff_5_index_4"
12,"responsibility","14",29,42,15,10,4,5,"trial_29_diff_5_index_5"
12,"responsibility","9",30,17,17,12,4,6,"trial_30_diff_5_index_6"
12,"responsibility","33",31,65,14,8,5,1,"trial_31_diff_6_index_1"
12,"responsibility","28",32,50,14,8,5,2,"trial_32_diff_6_index_2"
12,"responsibility","17",33,56,15,9,5,3,"trial_33_diff_6_index_3"
12,"responsibility","6",34,58,16,10,5,4,"trial_34_diff_6_index_4"
12,"responsibility","1",35,42,18,12,5,5,"trial_35_diff_6_index_5"
12,"responsibility","2",36,35,19,13,5,6,"trial_36_diff_6_index_6"
12,"responsibility","25",37,57,14,7,6,1,"trial_37_diff_7_index_1"
12,"responsibility","37",38,30,14,7,6,2,"trial_38_diff_7_index_2"
12,"responsibility","11",39,56,15,8,6,3,"trial_39_diff_7_index_3"
12,"responsibility","23",40,55,16,9,6,4,"trial_40_diff_7_index_4"
12,"responsibility","32",41,31,16,9,6,5,"trial_41_diff_7_index_5"
12,"responsibility","31",42,72,16,9,6,6,"trial_42_diff_7_index_6"
13,"prediction","10",1,0,8,7,0,1,"trial_1_diff_1_index_1"
13,"prediction","18",2,0,8,7,0,2,"trial_2_diff_1_index_2"
13,"prediction","34",3,0,9,8,0,3,"trial_3_diff_1_index_3"
13,"prediction","40",4,1,10,9,0,4,"trial_4_diff_1_index_4"
13,"prediction","39",5,0,13,12,0,5,"trial_5_diff_1_index_5"
13,"prediction","22",6,7,13,12,0,6,"trial_6_diff_1_index_6"
13,"prediction","6",7,1,7,5,1,1,"trial_7_diff_2_index_1"
13,"prediction","3",8,2,8,6,1,2,"trial_8_diff_2_index_2"
13,"prediction","2",9,1,10,8,1,3,"trial_9_diff_2_index_3"
13,"prediction","16",10,3,12,10,1,4,"trial_10_diff_2_index_4"
13,"prediction","11",11,0,12,10,1,5,"trial_11_diff_2_index_5"
13,"prediction","14",12,0,12,10,1,6,"trial_12_diff_2_index_6"
13,"prediction","35",13,0,12,9,2,1,"trial_13_diff_3_index_1"
13,"prediction","23",14,3,13,10,2,2,"trial_14_diff_3_index_2"
13,"prediction","30",15,7,13,10,2,3,"trial_15_diff_3_index_3"
13,"prediction","12",16,2,15,12,2,4,"trial_16_diff_3_index_4"
13,"prediction","15",17,0,16,13,2,5,"trial_17_diff_3_index_5"
13,"prediction","26",18,3,19,16,2,6,"trial_18_diff_3_index_6"
13,"prediction","8",19,4,9,5,3,1,"trial_19_diff_4_index_1"
13,"prediction","1",20,1,15,11,3,2,"trial_20_diff_4_index_2"
13,"prediction","41",21,3,16,12,3,3,"trial_21_diff_4_index_3"
13,"prediction","19",22,6,17,13,3,4,"trial_22_diff_4_index_4"
13,"prediction","42",23,5,19,15,3,5,"trial_23_diff_4_index_5"
13,"prediction","38",24,4,20,16,3,6,"trial_24_diff_4_index_6"
13,"prediction","24",25,2,9,4,4,1,"trial_25_diff_5_index_1"
13,"prediction","32",26,0,14,9,4,2,"trial_26_diff_5_index_2"
13,"prediction","29",27,3,14,9,4,3,"trial_27_diff_5_index_3"
13,"prediction","17",28,2,15,10,4,4,"trial_28_diff_5_index_4"
13,"prediction","9",29,0,15,10,4,5,"trial_29_diff_5_index_5"
13,"prediction","31",30,0,17,12,4,6,"trial_30_diff_5_index_6"
13,"prediction","4",31,6,14,8,5,1,"trial_31_diff_6_index_1"
13,"prediction","33",32,3,14,8,5,2,"trial_32_diff_6_index_2"
